accession	superkingdom	phylum	class	order	family	genus	species
CP036402.1		Actinomycetota	Nitriliruptoria	Egibacterales	Egibacteraceae	Egibacter	Egibacter rhizosphaerae
CP049872.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Thermomonas	Thermomonas sp. HDW16
HF986582.1		Bacillota					Firmicutes bacterium CAG:791
RAZD01000009.1							bacterium C-53
VDLX02000012.1		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea phyllanthi
VIGD01000014.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus terrenus
BSTK01000002.1		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	Actinoallomurus iriomotensis
JABXIP010000540.1		Bacteroidota	Cytophagia				Cytophagia bacterium
SACK01000005.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter limnophilus
AE008922.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	Xanthomonas campestris
BMKM01000011.1							
CP050902.1		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides sp. JQ2195
MDJS01000004.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp. PPCGB 2223
NFJZ01000002.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp. An196
BMFK01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia taiwanensis
JADIVZ010000002.1		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides acrostichi
BNCD01000020.1		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sulfonofaciens
FOHS01000006.1		Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter actinosclerus
FPBV01000005.1		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus macrosporangiidus
JAAJTJ010000006.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Parapedobacter	Parapedobacter sp. SGR-10
LS483440.1		Bacillota	Bacilli	Bacillales	Gemellaceae	Gemella	Gemella morbillorum
MIJF01000013.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Vulcanibacillus	Vulcanibacillus modesticaldus
CP019728.1		Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Jeotgalibaca	Jeotgalibaca dankookensis
CP029480.1		Bacteroidota	Cytophagia	Cytophagales	Leadbetterellaceae	Arcticibacterium	Arcticibacterium luteifluviistationis
FQZY01000023.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Hespellia	Hespellia stercorisuis
QQAY01000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Falsibacillus	Falsibacillus pallidus
CP060634.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Qiania	Qiania dongpingensis
JPVN01000042.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus manganicus
MINN01000096.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Rossellomorea	Rossellomorea aquimaris
QVLX01000003.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas intestinalis
RXHU01000043.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus whitsoniae
SMKR01000259.1		Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella	Kribbella turkmenica
BNHL01000001.1		Bacteroidota	Cytophagia	Cytophagales			Cytophagales bacterium WSM2-2
JACMOI010000027.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pseudopedobacter	Pseudopedobacter sp.
QCZI01000003.1		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrotolerans
SAWZ01000001.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas	Pseudoxanthomonas composti
ABCO01000001.1		Bacteroidota					unidentified eubacterium SCB49
GL945246.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		Lachnospiraceae bacterium 5_1_57FAA
JACXJA010000047.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus oceani
JAGXQX010000064.1		Bacteroidota	Bacteroidia	Bacteroidales			Bacteroidales bacterium
LFXA01000009.1		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces caatingaensis
VDUW01000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cerasibacillus	Cerasibacillus terrae
RIAX01000017.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planococcus	Planococcus salinus
CP010519.1		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces albus
FR897632.1		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	Anaerotruncus sp. CAG:390
JADOUA010000001.1		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura viridis
NFJL01000015.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp. An249
BOOU01000059.1		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Sphaerisporangium	Sphaerisporangium rufum
CP002282.1		Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	Ilyobacter polytropus
CP041692.1		Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Microlunatus	Microlunatus elymi
CP060393.1		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter	Edaphobacter albus
JABJRC010000013.1		Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella	Kribbella sandramycini
JALJEJ010000003.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter straminoryzae
RSDW01000001.1		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter	Edaphobacter aggregans
CP003130.1		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	Granulicella mallensis
FNSW01000001.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. GP183
QGHA01000018.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter oryzae
WNHB01000017.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Terrilactibacillus	Terrilactibacillus tamarindi
AP023359.1		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Polymorphospora	Polymorphospora rubra
JXYS01000026.1		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidithrix	Acidithrix ferrooxidans
VBRY01000009.1		Pseudomonadota	Candidatius Mariprofundia	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus erugo
CP014263.1		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma montaniterrae
JAAXPI010000103.1		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura latina
JABXFD010000663.1		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura sp. BRA 177
NIDE01000014.1		Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Fimbriiglobus	Fimbriiglobus ruber
NKXN01000083.1		Bacillota	Bacilli	Bacillales	Bacillaceae		Bacillaceae bacterium SAS-127
SACY01000003.1		Bacteroidota	Cytophagia	Cytophagales	Flectobacillaceae	Sandaracinomonas	Sandaracinomonas limnophila
BAOP01000005.1		Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia malaquae
